SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
230138963002,87,4,557,
230138963008,82,5,,
230138963009,87,4,,
230138963017,,,,
230138963020,100,,521,
230138963023,22,,7,
230138963024,82,2,304,
230138963030,400,5,0,
230138963031,130,,304,
230138963036,70,2,315,
230138963040,326,6,,
230138963047,75,,44,
230138963049,70,2,307,
230138963055,63,,217,
230138963056,104,2,445,
230138963057,70,2,217,
230148019111,,,,
230148840041,,,,
230148840091,,,,
230158407003,103,4,,
230158407004,,,,
230158407009,98,1,,
230158407010,95,5,,
230158407013,53,4,,
230158407016,82,2,,
230158407019,80,4,415,
230158407022,121,1,,
230158407025,123,2,,
230158407029,248,6,,
230158407030,,,,
230158407033,72,5,,
230158407036,,,,
230158407037,,,,
230158407041,87,4,,
230158407045,457,6,,
230158407046,86,5,15,
230158407050,339,6,,
230158407054,82,5,,
230158407055,457,6,,
230158407058,,,,
230158407062,,,,
230158407064,326,6,,
230158407067,264,5,,
230158407070,400,5,265,
230158407075,103,4,,
230158407076,264,5,,
230158407079,,,,
230158407083,88,4,,
230158777001,121,1,,
230158777004,95,5,,
230158777007,86,5,,
230158777011,103,4,,
230158777015,89,4,,
230158777017,77,3,,
230158777021,77,3,,
230158777022,57,5,,
230158777026,123,2,,
230158777030,89,6,,
230158777035,89,4,,
230158777038,69,5,,
230158777042,82,5,,
230158777045,66,4,,
230158777047,123,2,,
230158777050,339,6,,
230158777052,66,4,,
230158777055,123,2,,
230158777059,77,3,315,
230158777061,57,5,,
230158777064,457,6,,
230158777069,328,6,,
230158777071,326,6,,
230158777073,587,7,110,
230158777076,103,4,,
230158777083,103,4,,
230158777085,90,4,,
230158777088,264,5,,
230158777093,264,5,,
230158777094,,,,
230158777098,264,5,,
230158801003,89,4,,
230158801004,587,7,415,
230158801009,98,1,,
230158801010,98,1,,
230158801013,123,2,,
230158801018,63,4,,
230158801020,57,5,,
230158801022,89,6,,
230158801027,69,1,,
230158801028,69,5,,
230158801033,117,6,,
230158801034,,,,
230158801037,340,6,421,
230158801042,400,5,,
230158801043,86,5,,
230158801046,,,,
230158801049,340,6,315,
230158801052,264,5,,
230158801057,82,5,,
230158801058,82,5,,
230158801062,89,4,,
230158801065,89,4,,
230158801067,90,4,,
230158801070,90,4,,
230158801073,63,4,915,
230158801076,88,4,,
230158801081,326,6,,
230158801082,169,7,,
230158801086,88,4,,
230158840001,,,,
230158840005,89,4,,
230158840007,82,2,,
230158840010,86,5,,
230158840013,95,5,,
230158840016,103,4,,
230158840019,86,5,,
230158840024,103,4,,
230158840027,95,5,,
230158840028,121,1,,
230158840033,82,2,,
230158840034,53,4,,
230158840039,95,5,,
230158840040,95,5,,
230158840043,86,5,,
230158840046,,,,
230158840049,53,4,,
230158840054,86,6,,
230158840057,82,2,,
230158840059,69,5,,
230158840062,86,5,,
230158840064,264,5,115,
230158840067,95,5,,
230158840072,57,5,,
230158840074,57,5,348,
230158840076,123,2,,
230158840080,66,4,,
230158840082,103,4,,
230158840085,66,4,,
230158840088,80,4,,
230158840092,103,4,,
230158840094,,,,
230158840097,141,5,,
230158840100,103,4,,
230158840103,326,6,,
230158840108,326,6,,
230158840110,,,,
230158840114,141,5,,
230158840115,141,5,,
230158840119,,,,
230158929001,123,2,,
230158929005,,,,
230158929008,95,5,,
230158929010,95,5,,
230158929013,95,5,,
230158929016,89,4,,
230158929021,123,2,,
230158929022,86,5,,
230158929025,82,2,,
230158929030,80,4,,
230158929031,86,5,,
230158929036,,,,
230158929038,,,,
230158929042,57,5,,
230158929043,,,,
230158929046,53,4,,
230158929049,82,2,,
230158929052,,,,
230158929055,95,5,,
230158929058,339,6,,
230158929061,339,6,,
230158929065,80,4,,
230158929067,,,,
230158929071,,,,
230158929073,80,4,,
230158929076,123,2,,
230158929079,,,,
230158929083,,,,
230158929087,,,,
230158929088,95,5,,
230158929091,,,,
230158929095,103,4,,
230158929097,,,,
230158929102,141,5,,
230158929104,400,5,,
230158948001,95,5,,
230158948006,82,2,,
230158948007,,,,
230158948011,103,4,,
230158948015,86,5,,
230158948016,103,4,,
230158948020,80,4,,
230158948023,98,1,,
230158948027,121,1,,
230158948028,123,2,,
230158948032,86,5,,
230158948034,95,5,,
230158948037,88,4,,
230158948040,88,4,,
230158948044,,,,
230158948046,82,5,,
230158948049,90,4,,
230158948052,57,5,,
230158948055,151,1,,
230158948058,,,,
230158948061,400,5,,
230158948064,90,4,,
230158948068,,,,
230158948071,339,6,,
230158948074,326,6,,
230158948076,339,6,,
230158948081,169,7,,
230158948082,53,4,,
230158948087,95,5,,
230158948089,123,2,,
230158948092,89,4,,
230158948096,,,,
230158948099,400,5,,
230158948101,103,4,,
230158948104,74,4,,
230158948108,67,1,,
230158948110,169,7,415,
230158948112,88,4,,
230168777002,88,4,,
230168777005,98,1,,
230168777008,123,2,,
230168777010,74,4,,
230168777013,88,4,,
230168777016,121,1,,
230168777020,121,1,,
230168777023,98,1,,
230168777026,121,1,,
230168777030,88,4,,
230168777031,77,3,,
230168777034,77,3,,
230168777038,103,4,,
230168777042,69,5,,
230168777043,95,5,,
230168777046,95,5,,
230168777051,57,5,,
230168777053,340,6,,
230168777055,457,6,,
230168777059,457,6,,
230168777061,103,4,,
230168777064,89,4,,
230168777067,95,5,615,
230168777072,86,5,,
230168777073,400,5,,
230168777079,137,5,365,
230168777082,57,5,55,
230168777085,77,3,,
230168777089,264,5,,
230168777091,181,6,,
230168777094,103,4,,
230168777098,181,6,,
230168777100,89,4,,
230168777105,169,7,,
230168777107,181,6,,
230168777111,80,4,232,
230168777114,88,4,,
230168777115,89,4,,
230168777118,90,4,,
230168777121,103,4,,
230168777124,89,4,,
230168801001,103,4,,
230168801004,121,1,,
230168801008,339,6,,
230168801010,88,4,,
230168801013,89,6,,
230168801017,82,2,,
230168801021,82,2,,
230168801024,123,2,,
230168801026,82,2,,
230168801030,86,5,,
230168801033,82,2,,
230168801034,86,5,,
230168801037,82,2,,
230168801042,,,,
230168801045,86,5,,
230168801047,457,6,,
230168801049,103,4,,
230168801054,69,5,,
230168801056,212,4,,
230168801060,95,5,,
230168801061,95,5,,
230168801066,82,5,,
230168801069,,,,
230168801071,57,5,760,
230168801073,82,5,,
230168801076,87,4,,
230168801079,82,2,,
230168801082,123,2,,
230168801085,248,6,,
230168801089,181,6,,
230168801093,123,2,,
230168801095,,,,
230168801097,103,4,,
230168801101,88,4,,
230168840003,82,2,,
230168840004,98,1,,
230168840008,88,4,,
230168840010,88,4,,
230168840014,69,1,,
230168840016,121,1,,
230168840019,77,3,,
230168840023,88,4,,
230168840027,89,4,,
230168840029,77,3,,
230168840032,340,6,,
230168840035,123,2,,
230168840037,123,2,,
230168840040,95,5,,
230168840045,86,5,,
230168840047,53,4,,
230168840050,66,4,,
230168840052,,,,
230168840056,457,6,,
230168840061,89,6,,
230168840069,86,5,,
230168840070,66,4,,
230168840073,95,5,,
230168840076,95,5,,
230168840079,,,,
230168840082,557,6,,
230168840090,123,2,,
230168840093,74,4,,
230168840094,82,2,,
230168840099,90,4,,
230168840101,123,2,,
230168840105,89,4,,
230168840106,326,6,,
