SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK,OPERA_PV
230118310003.0,,,75.0,4.0,2.0
230118310013.0,40.0,,73.0,,1.0
230118310014.0,,,76.0,4.0,1.0
230118310017.0,125.0,,274.0,,1.0
230118310018.0,1300.0,,70.0,,1.0
230118310025.0,400.0,,225.0,,2.0
230118310027.0,,,,,1.0
230118310029.0,,,72.0,5.0,2.0
230118310031.0,,,63.0,4.0,1.0
230118310037.0,,,277.0,6.0,1.0
230118310039.0,,,53.0,4.0,1.0
230118310048.0,423.0,,104.0,2.0,1.0
230118310049.0,400.0,,300.0,,2.0
230118310050.0,1000.0,,75.0,,2.0
230118407001.0,,,,,2.0
230118407002.0,30.0,,100.0,,1.0
230118407008.0,277.0,,87.0,4.0,1.0
230118407010.0,,,,,1.0
230118407016.0,694.0,,100.0,,1.0
230118407017.0,,,,,1.0
230118407025.0,364.0,,90.0,,2.0
230118407028.0,1250.0,,113.0,,1.0
230118407031.0,1374.0,,48.0,5.0,1.0
230118407035.0,,,72.0,5.0,2.0
230118407037.0,300.0,,74.0,4.0,2.0
230118407038.0,440.0,,50.0,,2.0
230118407043.0,289.0,,69.0,5.0,2.0
230118777001.0,484.0,,76.0,4.0,2.0
230118777002.0,,,,,2.0
230118777012.0,488.0,,70.0,2.0,2.0
230118777013.0,922.0,,76.0,4.0,2.0
230118777015.0,235.0,,75.0,4.0,2.0
230118777017.0,723.0,,65.0,3.0,1.0
230118777022.0,538.0,,65.0,3.0,1.0
230118777023.0,,,77.0,3.0,1.0
230118777029.0,595.0,,65.0,3.0,1.0
230118777030.0,500.0,,150.0,,2.0
230118777038.0,200.0,,150.0,,1.0
230118777040.0,250.0,,530.0,,2.0
230118777044.0,,,326.0,6.0,1.0
230118777045.0,0.0,,223.0,,1.0
230118777051.0,320.0,,70.0,2.0,2.0
230118777055.0,275.0,,75.0,,1.0
230118777057.0,30.0,,82.0,,2.0
230118801002.0,,,89.0,6.0,1.0
230118801003.0,1820.0,,87.0,4.0,1.0
230118801011.0,904.0,,87.0,4.0,1.0
230118801014.0,,,103.0,4.0,1.0
230118801015.0,,,,,2.0
230118801017.0,,,,,2.0
230118801022.0,608.0,,76.0,4.0,2.0
230118801028.0,550.0,,163.0,,1.0
230118801031.0,,,63.0,4.0,1.0
230118801032.0,,,90.0,4.0,2.0
230118801036.0,,,264.0,5.0,1.0
230118801037.0,,,123.0,7.0,2.0
230118801043.0,,,326.0,6.0,1.0
230118801044.0,4000.0,,175.0,,1.0
230118801052.0,329.0,,70.0,2.0,2.0
230118801054.0,644.0,,70.0,2.0,2.0
230118840004.0,422.0,,54.0,4.0,1.0
230118840007.0,1425.0,,87.0,4.0,1.0
230118840008.0,10.0,,175.0,,2.0
230118840009.0,1540.0,,270.0,,1.0
230118840015.0,983.0,,76.0,4.0,2.0
230118840019.0,382.0,,65.0,3.0,1.0
230118840026.0,880.0,,65.0,,1.0
230118840028.0,422.0,,73.0,5.0,2.0
